fat_g,fiber_g,calories,food_id,potassium_mg,sodium_mg,source,name,carbs_g,cholesterol_mg,sugar_g,protein_g,category,cuisine,sat_fat_g,low_gi,low_sodium,diabetic_friendly,heart_healthy,vegetarian,vegan,meal_type
3.2,0.8,56.0,1238,0.0,432.0,USDA,"MARINARA SAUCE, MARINARA",6.4,0.0,2.4,1.6,Other,American,0.4,0,0,0,0,1,1,lunch
25.0,0.0,321.0,1239,0.0,1536.0,USDA,SOPRESSATA FRIULI,3.57,36.0,0.0,25.0,Other,American,14.29,0,0,0,0,1,1,lunch
43.33,0.0,467.0,1240,0.0,2033.0,USDA,PEPPERONI,3.33,33.0,3.33,20.0,Other,American,16.67,0,0,0,0,1,1,lunch
1.79,0.0,107.0,1241,0.0,857.0,USDA,"OVEN ROASTED CHICKEN BREAST, OVEN ROASTED",3.57,54.0,0.0,17.86,Other,American,0.0,0,0,0,0,0,0,dinner
0.0,0.0,250.0,1242,0.0,12500.0,USDA,"BACON CHEDDAR FLAVORED POPCORN SEASONING, BACON CHEDDAR",0.0,0.0,0.0,0.0,Other,American,0.0,0,0,0,0,0,0,lunch
33.33,0.0,386.0,1243,0.0,1614.0,USDA,GENOA SALAMI,1.75,70.0,0.0,19.3,Other,American,12.28,0,0,0,0,1,1,lunch
46.43,0.0,464.0,1244,0.0,1821.0,USDA,PEPPERONI,3.57,71.0,3.57,21.43,Other,American,17.86,0,0,0,0,1,1,lunch
26.67,0.0,300.0,1245,0.0,500.0,USDA,"SPINACH ARTICHOKE & PARMESAN DIP, SPINACH ARTICHOKE & PARMESAN",6.67,50.0,0.0,6.67,Other,American,11.67,0,0,0,0,1,1,lunch
30.43,0.0,348.0,1246,0.0,522.0,USDA,"SMOKY JALAPENO SOFT SPREADABLE CHEESE, SMOKY JALAPENO",8.7,109.0,0.0,4.35,Other,American,19.57,0,0,0,0,1,0,lunch
0.0,0.0,500.0,1247,0.0,2500.0,USDA,"CHEESY CARAMEL CORN POPCORN SEASONING, CHEESY CARAMEL CORN",125.0,0.0,125.0,0.0,Other,American,0.0,0,0,0,0,1,1,lunch
32.14,0.0,393.0,1248,0.0,1607.0,USDA,GENOA SALAMI,0.0,71.0,0.0,17.86,Other,American,12.5,0,0,0,0,1,1,lunch
45.0,1.7,500.0,1249,0.0,767.0,USDA,"BASIL PESTO, BASIL",11.67,8.0,1.67,8.33,Other,American,7.5,0,0,0,0,1,1,lunch
25.81,0.0,258.0,1250,0.0,613.0,USDA,"CREAMY SPINACH DIP, CREAMY",6.45,32.0,3.23,3.23,Other,American,6.45,0,0,0,0,1,0,lunch
0.0,0.0,250.0,1251,0.0,11875.0,USDA,"CHEESY JALAPEO POPCORN SEASONING, CHEESY JALAPEO",0.0,0.0,0.0,0.0,Other,American,0.0,0,0,0,0,1,1,lunch
5.36,0.0,286.0,1252,0.0,1107.0,USDA,"HONEY BARBECUE SMOKED CHICKEN BREAST, HONEY BARBECUE",21.43,107.0,21.43,35.71,Other,American,3.57,0,0,0,0,0,0,snack
30.63,0.0,351.0,1253,0.0,910.0,USDA,"SANDWICH SPREAD BOLOGNA WITH SWEET PICKLE RELISH, CELERY, ONION AND SALAD DRESSING, SANDWICH SPREAD",9.91,50.0,6.31,8.11,Other,American,7.21,0,0,0,0,1,1,lunch
10.57,1.6,163.0,1254,307.0,301.0,USDA,"REDSKIN POTATO SALAD WITH CELERY, SWEET PICKLE RELISH, GREEN ONION, RED PEPPER AND MUSTARD, REDSKIN POTATO SALAD",15.45,8.0,4.07,1.63,Other,American,1.63,0,0,0,0,1,1,lunch
12.31,1.5,177.0,1255,0.0,346.0,USDA,"MUSTARD POTATO SALAD WITH ONION, CELERY, SWEET PICKLE RELISH AND MUSTARD, MUSTARD POTATO SALAD",15.38,8.0,4.62,1.54,Other,American,1.92,0,0,0,0,1,1,lunch
10.57,1.6,163.0,1256,0.0,301.0,USDA,"REDSKIN POTATO SALAD WITH CELERY, SWEET PICKLE RELISH, GREEN ONION, RED PEPPER AND MUSTARD, REDSKIN",15.45,8.0,4.07,1.63,Other,American,1.63,0,0,0,0,1,1,lunch
16.87,2.4,217.0,1257,0.0,151.0,USDA,"CLASSIC COLESLAW, CLASSIC",16.87,12.0,14.46,1.2,Other,American,2.41,0,0,0,0,1,1,lunch
17.65,0.0,212.0,1258,0.0,459.0,USDA,"FARM STYLE EGG SALAD, FARM STYLE",1.18,294.0,1.18,9.41,Other,American,4.12,0,0,0,0,1,0,breakfast
13.91,1.7,330.0,1259,119.0,287.0,USDA,"MACARONI SALAD ELBOW MACARONI, CELERY, EGG, CARROTS & ONIONS IN A RICH MAYONNAISE DRESSING, MACARONI SALAD",44.35,35.0,8.7,6.96,Other,American,2.17,0,0,0,0,1,0,breakfast
12.31,1.5,177.0,1260,274.0,346.0,USDA,"MUSTARD POTATO SALAD WITH ONION, CELERY, SWEET PICKLE RELISH AND MUSTARD, MUSTARD POTATO SALAD",15.38,8.0,4.62,1.54,Other,American,1.92,0,0,0,0,1,1,lunch
11.85,1.5,170.0,1261,0.0,341.0,USDA,"AMERICAN POTATO SALAD WITH CELERY, SWEET PICKLE RELISH, ONION AND MUSTARD, AMERICAN POTATO SALAD",15.56,7.0,3.7,1.48,Other,American,1.85,0,0,0,0,1,1,lunch
11.85,1.5,170.0,1262,296.0,341.0,USDA,"AMERICAN POTATO SALAD WITH CELERY, SWEET PICKLE RELISH, ONION AND MUSTARD, AMERICAN",15.56,7.0,3.7,1.48,Other,American,1.85,0,0,0,0,1,1,lunch
3.57,0.0,143.0,1263,0.0,21.0,USDA,"CRANBERRY WALNUT RELISH, CRANBERRY WALNUT",28.57,0.0,25.71,1.43,Other,American,0.0,0,1,0,0,1,1,snack
28.57,0.0,357.0,1264,0.0,607.0,USDA,FRESH CRUMBLING QUESO FRESCO CHEESE,3.57,71.0,3.57,21.43,Other,American,17.86,0,0,0,0,1,0,lunch
13.64,1.1,182.0,1265,0.0,534.0,USDA,"WHITE CHICKEN MEAT, ONION AND CELERY IN A CREAMY DRESSING SALAD, CHICKEN SALAD",7.95,34.0,5.68,7.95,Other,American,2.27,0,0,0,0,0,0,lunch
30.0,0.0,400.0,1266,0.0,1500.0,USDA,GRATED SIERRA COTIJA CHEESE,0.0,100.0,0.0,20.0,Other,American,20.0,0,0,0,0,1,0,lunch
6.12,6.1,388.0,1267,0.0,0.0,USDA,"TEXMATI, LT. BROWN RICE, CHIA & ORZO",71.43,0.0,0.0,10.2,Other,American,0.0,1,1,0,1,1,1,dinner
1.33,0.7,167.0,1268,0.0,180.0,USDA,THAI JASMINE RICE,35.33,0.0,0.0,3.33,Other,American,0.67,0,0,0,0,1,1,dinner
1.43,31.4,229.0,1269,886.0,14.0,USDA,RED KIDNEY BEANS,60.0,0.0,2.86,22.86,Other,American,0.0,1,1,0,1,1,1,lunch
2.86,31.4,229.0,1270,1086.0,29.0,USDA,"NAVY BEANS, NAVY",60.0,0.0,2.86,20.0,Other,American,0.0,1,1,0,1,1,1,lunch
2.5,2.1,143.0,1271,0.0,207.0,USDA,WHOLE GRAIN BROWN RICE,28.57,0.0,0.0,3.57,Other,American,0.71,0,0,0,1,1,1,dinner
0.0,0.7,57.0,1272,0.0,0.0,USDA,PINEAPPLE SLICES IN 100% PINEAPPLE JUICE,14.29,0.0,12.14,0.0,Other,American,0.0,0,1,0,0,1,1,breakfast
0.0,0.8,56.0,1273,85.0,4.0,USDA,SLICED CLING PEACHES IN EXTRA LIGHT SYRUP,13.71,0.0,12.1,0.0,Other,American,0.0,0,1,0,0,1,1,lunch
3.64,3.6,364.0,1274,0.0,18.0,USDA,"TRADITIONAL GERMAN EGG BROAD NOODLES, TRADITIONAL GERMAN",69.09,45.0,3.64,14.55,Other,American,0.91,1,1,0,1,1,0,dinner
0.0,0.8,49.0,1275,0.0,12.0,USDA,TROPICAL FRUIT SALAD PINEAPPLE & RED & YELLOW PAPAYA CHUNKS IN PINEAPPLE & PASSION FRUIT 100% JUICES,13.11,0.0,11.48,0.0,Other,American,0.0,0,1,0,0,1,1,snack
3.57,0.0,179.0,1276,0.0,2429.0,USDA,VODKA LUMPFISH CAVIAR,14.29,286.0,14.29,14.29,Other,American,0.0,0,0,0,0,0,0,lunch
0.0,3.3,33.0,1277,0.0,1067.0,USDA,PICKLED CARROTS SLICED,3.33,0.0,0.0,0.0,Other,American,0.0,1,0,1,0,1,1,lunch
